d_0,P_atm,L_0/d_0,Re_l0,L_b/d_0,theta,"page fig","regime L_b"
0.0003,100000,50,1022.94521913,82.0515424848,,"p. IB/4/8, fig. 4, L_b/d_0=50",Rayleigh
0.0003,100000,50,1146.51756593,97.5367266174,,"p. IB/4/8, fig. 4, L_b/d_0=50",Rayleigh
0.0003,100000,50,1346.59685755,117.535933153,,"p. IB/4/8, fig. 4, L_b/d_0=50",Rayleigh
0.0003,100000,50,1619.36834647,144.971601639,,"p. IB/4/8, fig. 4, L_b/d_0=50",Rayleigh
0.0003,100000,50,2030.17464645,173.7613306,,"p. IB/4/8, fig. 4, L_b/d_0=50",R2F
0.0003,100000,50,2147.5218313,176.960143002,,"p. IB/4/8, fig. 4, L_b/d_0=50",R2F
0.0003,100000,50,2292.28418297,176.012363159,,"p. IB/4/8, fig. 4, L_b/d_0=50",R2F
0.0003,100000,50,2422.5649284,166.258226511,,"p. IB/4/8, fig. 4, L_b/d_0=50",R2F
0.0003,100000,50,2592.61457599,139.603036383,,"p. IB/4/8, fig. 4, L_b/d_0=50","first wind-induced"
0.0003,100000,50,2722.23165556,113.446423248,,"p. IB/4/8, fig. 4, L_b/d_0=50","first wind-induced"
0.0003,100000,50,2898.43520345,91.7449226039,,"p. IB/4/8, fig. 4, L_b/d_0=50","first wind-induced"
0.0003,100000,50,3290.3072727,67.1719623616,,"p. IB/4/8, fig. 4, L_b/d_0=50","first wind-induced"
0.0003,100000,50,3381.35667631,63.4676088925,,"p. IB/4/8, fig. 4, L_b/d_0=50",F2R
0.0003,100000,50,3625.12619868,61.6575018893,,"p. IB/4/8, fig. 4, L_b/d_0=50",F2R
0.0003,100000,50,3869.71362329,61.6163950175,,"p. IB/4/8, fig. 4, L_b/d_0=50",F2R
0.0003,100000,50,4189.96165519,62.735760914,,"p. IB/4/8, fig. 4, L_b/d_0=50",R2S
0.0003,100000,50,5176.35039765,71.0780760992,,"p. IB/4/8, fig. 4, L_b/d_0=50",R2S
0.0003,100000,50,7225.9521986,86.7162749732,,"p. IB/4/8, fig. 4, L_b/d_0=50","second wind-induced"
0.0003,100000,50,9716.58365379,104.844529998,,"p. IB/4/8, fig. 4, L_b/d_0=50","second wind-induced"
0.0003,100000,50,15040.6534219,135.834470647,,"p. IB/4/8, fig. 4, L_b/d_0=50","second wind-induced"
0.0003,100000,50,23727.1498332,180.137733711,,"p. IB/4/8, fig. 4, L_b/d_0=50",S2A
0.0003,100000,50,26576.6856903,203.337275691,,"p. IB/4/8, fig. 4, L_b/d_0=50",S2A
0.0003,100000,50,29181.5437485,207.00165579,,"p. IB/4/8, fig. 4, L_b/d_0=50",S2A
0.0003,100000,50,28350.3615588,192.050566791,,"p. IB/4/8, fig. 4, L_b/d_0=50",S2A
0.0003,100000,50,31130.8422625,196.433275864,,"p. IB/4/8, fig. 4, L_b/d_0=50",S2A
0.0003,100000,50,33384.6746413,195.371892807,,"p. IB/4/8, fig. 4, L_b/d_0=50",S2A
0.0003,100000,50,37325.6995618,189.718497003,,"p. IB/4/8, fig. 4, L_b/d_0=50",S2A
0.0003,100000,50,40192.1628838,180.015349633,,"p. IB/4/8, fig. 4, L_b/d_0=50",S2A
0.0003,100000,50,46190.8567077,168.302985461,,"p. IB/4/8, fig. 4, L_b/d_0=50",S2A
0.0003,100000,50,57181.1697996,153.57829727,,"p. IB/4/8, fig. 4, L_b/d_0=50",S2A
0.0003,100000,50,59598.2401034,146.459375563,,"p. IB/4/8, fig. 4, L_b/d_0=50",S2A
0.0003,100000,50,69269.6479951,160.66012181,,"p. IB/4/8, fig. 4, L_b/d_0=50",S2A
0.0003,100000,50,70489.3096694,145.522364882,,"p. IB/4/8, fig. 4, L_b/d_0=50",S2A
0.0003,100000,50,72435.7494184,136.852015325,,"p. IB/4/8, fig. 4, L_b/d_0=50",S2A
0.0003,100000,50,80280.7117579,139.304978976,,"p. IB/4/8, fig. 4, L_b/d_0=50",atomization
0.0003,100000,50,86102.7740707,139.861750156,,"p. IB/4/8, fig. 4, L_b/d_0=50",atomization
0.0003,100000,50,95406.0895174,139.715249569,,"p. IB/4/8, fig. 4, L_b/d_0=50",atomization
0.0003,3000000,40,2400.2011846,119.91117133,,"p. IB/4/9, fig. 7, L_b/d_0=40","first wind-induced"
0.0003,3000000,40,2505.41060032,97.5958974878,,"p. IB/4/9, fig. 7, L_b/d_0=40","first wind-induced"
0.0003,3000000,40,2713.63441664,76.0474510175,,"p. IB/4/9, fig. 7, L_b/d_0=40","first wind-induced"
0.0003,3000000,40,2805.89664235,61.9048590693,,"p. IB/4/9, fig. 7, L_b/d_0=40","first wind-induced"
0.0003,3000000,40,2961.01149627,53.8559457163,,"p. IB/4/9, fig. 7, L_b/d_0=40","first wind-induced"
0.0003,3000000,40,3173.63088423,49.8395023061,,"p. IB/4/9, fig. 7, L_b/d_0=40",F2S
0.0003,3000000,40,3690.31108865,48.311702747,,"p. IB/4/9, fig. 7, L_b/d_0=40",F2S
0.0003,3000000,40,4442.51361731,50.2770037853,,"p. IB/4/9, fig. 7, L_b/d_0=40",F2S
0.0003,3000000,40,6148.75474505,57.9799241456,,"p. IB/4/9, fig. 7, L_b/d_0=40",F2S
0.0003,3000000,40,8804.23622018,69.4259311129,,"p. IB/4/9, fig. 7, L_b/d_0=40",F2S
0.0003,3000000,40,11172.130395,74.2838932354,,"p. IB/4/9, fig. 7, L_b/d_0=40",S2A
0.0003,3000000,40,16905.7779678,82.7280534463,,"p. IB/4/9, fig. 7, L_b/d_0=40",S2A
0.0003,3000000,40,21441.5323016,86.4304479186,,"p. IB/4/9, fig. 7, L_b/d_0=40",S2A
0.0003,3000000,40,24028.1989778,87.5113187644,,"p. IB/4/9, fig. 7, L_b/d_0=40",S2A
0.0003,3000000,40,26164.9330095,87.3877954515,,"p. IB/4/9, fig. 7, L_b/d_0=40",S2A
0.0003,3000000,40,29158.9390533,85.1741779791,,"p. IB/4/9, fig. 7, L_b/d_0=40",S2A
0.0003,3000000,40,35297.885312,73.9313335552,,"p. IB/4/9, fig. 7, L_b/d_0=40",S2A
0.0003,3000000,40,42148.5761338,65.7370719654,,"p. IB/4/9, fig. 7, L_b/d_0=40",S2A
0.0003,3000000,40,44731.0788083,59.6940943929,,"p. IB/4/9, fig. 7, L_b/d_0=40",S2A
0.0003,3000000,40,50101.5453557,59.0160103696,,"p. IB/4/9, fig. 7, L_b/d_0=40",S2A
0.0003,3000000,40,51672.0061288,53.1069971968,,"p. IB/4/9, fig. 7, L_b/d_0=40",S2A
