Ubar_0*kappa_x,~G
503.472958759,0.102064741425
538.164512898,0.102064741425
562.61027708,0.102064741425
592.537307413,0.102064741425
677.007551844,0.102064741425
718.318391116,0.102064741425
796.770163897,0.102064741425
858.000229135,0.102064741425
994.93815387,0.102064741425
1111.80237327,0.102064741425
1224.13196865,0.102064741425
1378.08239671,0.102064741425
1598.02609498,0.102064741425
1908.77300737,0.102064741425
2279.94674499,0.102064741425
2847.00169279,0.102064741425
3205.04897895,0.102064741425
3608.12534234,0.102064741425
4002.18991457,0.102064741425
4374.04153026,0.102064741425
4710.53829684,0.0884597203583
4961.37850047,0.0798669066393
5186.85942659,0.0766682207455
5382.64723348,0.0721087829612
6149.98039852,0.0721087829612
6381.9133309,0.0721087829612
6573.88574093,0.0692208115024
7026.93303378,0.0678204936751
7131.91561654,0.0651042690765
7401.12324349,0.0612325362848
7567.68357262,0.056426003302
7853.34008423,0.0530703645645
8089.66263921,0.0499142847303
8395.11418269,0.0459961936234
8583.95000087,0.0432608127694
9040.55760745,0.0432608127694
9381.60502761,0.0423856585198
9735.62480212,0.0406881042547
9881.29176323,0.0374942349987
10254.1674782,0.0359925832428
10484.7051488,0.0345510729459
10720.6606765,0.0318389384863
11043.1456368,0.0305637825088
11291.4213819,0.0293396967881
11460.3665778,0.0270366365382
11804.8438231,0.0270366365382
12070.5087239,0.0249143582014
12433.5980562,0.023916533076
12713.273664,0.0224942234995
13291.056778,0.0215933252623
13590.019666,0.020309176209
13895.5550968,0.0194957895613
14103.3095558,0.0183363803733
14527.3878464,0.0179654404816
14744.5889285,0.0168970407281
15528.900517,0.0168970407281
15878.2004277,0.0158921784112
17225.4689704,0.0158921784112
17483.0094546,0.0149470749769
17876.2641885,0.0140581765814
18143.5348064,0.0132221407264
18415.4064938,0.0116962687119
18691.1473271,0.0105601147896
19111.577356,0.00993210769739
19979.7080149,0.00993210769739
20733.6527509,0.0095343247592
21199.7937632,0.00915247310877
21837.4983652,0.0087859146948
22000.9838563,0.00793246718199
22830.7023872,0.00793246718199
23517.2082887,0.00777199556994
24224.6223381,0.00746072556284
24954.4091131,0.00659973696959
24955.2290573,0.00620725244585
25897.4949556,0.00572000554373
26091.3754363,0.00516437477857
26481.1813399,0.00495754051579
26876.810955,0.00475899000742
27481.3655181,0.00447597419404
28099.5186521,0.00420978925244
28943.5037684,0.00438542647692
29594.869697,0.00404118633461
30260.5630171,0.0038008581062
30940.8912568,0.00364863296414
31636.5148667,0.00350250447006
33073.9446976,0.00343164977559
33568.8056967,0.00316227766017
34072.1904319,0.00274075252246
34326.5184957,0.00257776073151
34840.5024155,0.00232736181901
35623.4082426,0.0022802799346
36695.3871411,0.0021446723205
38934.5309085,0.0021446723205
38936.2366494,0.00197632328793
39227.7311083,0.00178434689694
39815.1027348,0.00161101873772
41623.6772301,0.00161101873772
41937.1283028,0.00134035221049
43518.6945051,0.00134035221049
45162.3790954,0.00121015287438
47215.918516,0.0011151602437
48997.6359062,0.00107049784859
49731.2960055,0.000966511666377
50848.8149484,0.000946959403303
51994.2930455,0.000837677640068
53560.0774947,0.000756307182548
55996.0746724,0.000682840900859
58111.0251804,0.000616510997971
58977.9136658,0.000616510997971
59861.0122315,0.000556624259241
60757.9992066,0.000492388263171
61667.7516651,0.000444558577459
62591.1261906,0.000401374979005
63524.847914,0.000401374979005
64469.6742607,0.000435565280678
65430.7031571,0.000444558577459
66902.4711517,0.000418120802386
67904.9708253,0.00036986849255
69436.1962081,0.000314080822899
72591.8792154,0.000301501821908
74225.5403364,0.000277835017635
78174.689137,0.00027221449225
79933.1144619,0.000256025972035
81137.9806534,0.000192319653845
85456.7757687,0.00018088245747
88031.2317879,0.000160008116055
89344.4638459,0.000160008116055
90682.2522309,0.000144465223434
93412.0838565,0.00013312522507
96221.9845764,0.000127793532665
98383.1247815,0.000127793532665
99119.6658084,0.000115379905127
102103.491108,0.00010632299922
102873.517894,8.66702047383E-05
105972.667668,7.66682207455E-05
110786.405441,7.66682207455E-05
111617.02556,6.78204936751E-05
115825.146675,6.92208115024E-05
118430.463989,6.51042690765E-05
120206.401099,5.6426003302E-05
121998.279626,5.75910543664E-05
123835.855828,4.41540366913E-05
127559.527768,4.32608127694E-05
131405.242368,3.67357370188E-05
132393.352053,3.11948455871E-05
136374.342912,3.05637825088E-05
139444.938824,2.75948731726E-05
140487.348674,2.54287752758E-05
141539.101159,2.29586710503E-05
144719.646197,2.24942234995E-05
147963.558719,2.44103476417E-05
149077.812415,2.0309176209E-05
152441.117055,1.68970407281E-05
155870.057084,1.58921784112E-05
158209.156506,1.34951437432E-05
161767.840148,1.26925912946E-05
165402.948022,1.24358236913E-05
166641.23007,1.12278307654E-05
169140.117049,9.73118391206E-06
175532.320089,8.43403702004E-06
179476.731527,8.26341878921E-06
184808.709725,1.55706840475E-05
186269.779761,6.46622612028E-06
