"Temperature (C)","Pressure (MPa)","Density (kg/m3)","Volume (m3/kg)","Internal Energy (kJ/kg)","Enthalpy (kJ/kg)","Entropy (J/g*K)","Cv (J/g*K)","Cp (J/g*K)","Sound Spd. (m/s)","Joule-Thomson (K/MPa)","Viscosity (Pa*s)","Therm. Cond. (W/m*K)",Phase,"Surf. Tension (N/m)","Vapor Pressure (Mpa)","h_fg (kJ/kg)"
0.01,0.101325,999.843762235,0.00100015626218,0.00186739518558,0.103208228376,6.82670469672E-06,4.21695816225,4.21941022029,1402.43296317,-0.241412546576,0.00179091023395,0.561094291509,liquid,0.0756462711037,0.0006116547862,2500.91457944836
1.01,0.101325,999.902335415,0.00100009767412,4.21959813637,4.32093303327,0.0154191285084,4.21474108417,4.21608140559,1407.41665895,-0.240441605297,0.00173027028295,0.562991080081,liquid,0.0755062585217,0.00065755939639,2498.5307029707
2.01,0.101325,999.943327991,0.00100005667522,8.43412104051,8.53545178311,0.0307636429696,4.21241879861,4.21299488823,1412.2843672,-0.239490599271,0.00167284047915,0.564890124256,liquid,0.0753656527203,0.00070649041187,2496.1493762162
3.01,0.101325,999.967322027,0.00100003267904,12.6456691193,12.7469974305,0.0460417070024,4.20999594968,4.21013229183,1417.03838638,-0.23855857244,0.0016183948831,0.566790698802,liquid,0.0752244548404,0.00075861826619,2493.770346128
4.01,0.101325,999.974864986,0.00100002513565,16.8544579054,16.9557854523,0.0612545798565,4.20747685878,4.20747700346,1421.68094535,-0.237644621655,0.00156672705327,0.568692013913,liquid,0.0750826660261,0.00081412062292,2491.3933766549
5.01,0.101325,999.966472486,0.00100003352864,21.0606871067,21.162015504,0.0764034501926,4.20486554357,4.20501396043,1426.21420363,-0.236747894269,0.00151764807733,0.57059322902,liquid,0.0749402874259,0.00087318398985,2489.0182471286
6.01,0.101325,999.9426308,0.00100005737249,25.264542063,25.3658728762,0.0914894423224,4.20216573719,4.2027294671,1430.64025255,-0.235867585601,0.00147098482978,0.572493464889,liquid,0.0747973201916,0.0009360025278,2486.6447507917
7.01,0.101325,999.903799099,0.00100009621016,29.4661950322,29.5675297807,0.106513621728,4.19938090746,4.20061103703,1434.96111713,-0.235002936338,0.00142657842682,0.574391814212,liquid,0.0746537654791,0.00100277912432,2484.2726934545
8.01,0.101325,999.850411489,0.00100014961089,33.6658063303,33.7671464897,0.121476999961,4.19651427565,4.19864725683,1439.17875832,-0.23415322994,0.00138428285349,0.576287350865,liquid,0.0745096244482,0.00107372584467,2481.9018923603
9.01,0.101325,999.782878858,0.00100021716829,37.8635253443,37.9648723489,0.136380539004,4.19356883491,4.19682766838,1443.29507553,-0.233317790072,0.00134396374153,0.57817913799,liquid,0.0743648982624,0.00114906342328,2479.5321751482
10.01,0.101325,999.701590548,0.00100029849853,42.0594914349,42.1608466803,0.151225155167,4.19054736801,4.1951426668,1447.31190937,-0.232495978115,0.00130549727953,0.580066235046,liquid,0.0742195880892,0.00122902224225,2477.163378945
11.01,0.101325,999.606915882,0.00100039323869,46.2538347455,46.3551995903,0.166011722579,4.18745246432,4.19358341182,1451.23104438,-0.231687190753,0.00126876923926,0.581947703926,liquid,0.0740736951,0.00131384220257,2474.7953495143
12.01,0.101325,999.49920555,0.00100050104537,50.4466769265,50.548052695,0.18074107633,4.18428653604,4.19214175063,1455.05421176,-0.230890857668,0.00123367410438,0.583822614274,liquid,0.0739272204703,0.00140377362136,2472.4279405566
13.01,0.101325,999.378792882,0.00100062159326,54.6381317895,54.7395197724,0.1954140153,4.18105183353,4.19081015057,1458.78309208,-0.230106439347,0.00120011428948,0.585690048066,liquid,0.0737801653793,0.00149907661784,2470.0610130144
14.01,0.101325,999.245995001,0.00100075457395,58.8283058965,58.9297073537,0.210031304729,4.17775045981,4.18958164015,1462.41931786,-0.229333425002,0.00116799943888,0.587549103559,liquid,0.0736325310104,0.00160002213352,2467.6944344785
15.01,0.101325,999.10111389,0.00100089969483,63.0172990952,63.1187152568,0.224593678537,4.1743843841,4.18844975742,1465.96447601,-0.228571330607,0.00113724579625,0.589398898662,liquid,0.0734843185511,0.00170689189177,2465.3280786509
