page,table,liquid,"P_atm (mm Hg)","rho_g (g/cm^3)",T_l,rho_l,sigma,mu_l,d_0,L_0/d_0,Ubar_0,nozzle,L_b,L_b/d_0,x_tr/d_0,"regime L_b","photo filename","photo page fig","regime photo","x low"
221,A-3,"glycerin-water (88%-12%)",,,25,1235,0.0628,0.162,0.00084,52,4.06,5,,506,,Rayleigh,,,,
221,A-3,"glycerin-water (88%-12%)",,,25,1235,0.0628,0.162,0.00084,52,7.11,5,,908,,Rayleigh,,,,
221,A-3,"glycerin-water (88%-12%)",,,25,1235,0.0628,0.162,0.00084,52,8.9,5,,1140,,Rayleigh,,,,
221,A-3,"glycerin-water (88%-12%)",,,25,1235,0.0628,0.162,0.00084,52,12.5,5,,1345,,Rayleigh,,,,
221,A-3,"glycerin-water (88%-12%)",,,25,1235,0.0628,0.162,0.00084,52,14.1,5,,1430,,Rayleigh,,,,
221,A-3,"glycerin-water (88%-12%)",,,25,1235,0.0628,0.162,0.00084,52,17.5,5,,1645,,Rayleigh,,,,
222,A-4,"glycerin-water (72%-28%)",,,25,1190,0.0645,0.026,0.00137,102,2.5,1,,165,,Rayleigh,,,,
222,A-4,"glycerin-water (72%-28%)",,,25,1190,0.0645,0.026,0.00137,102,5.5,1,,349,,Rayleigh,,,,
222,A-4,"glycerin-water (72%-28%)",,,25,1190,0.0645,0.026,0.00137,102,7.4,1,,458,,Rayleigh,,,,
222,A-4,"glycerin-water (72%-28%)",,,25,1190,0.0645,0.026,0.00137,102,10,1,,524,,R2F,,,,
222,A-4,"glycerin-water (72%-28%)",,,25,1190,0.0645,0.026,0.00137,102,12.9,1,,390,,"first wind-induced",,,,
222,A-4,"glycerin-water (72%-28%)",,,25,1190,0.0645,0.026,0.00137,102,15.5,1,,368,,"first wind-induced",,,,
222,A-4,"glycerin-water (72%-28%)",,,25,1190,0.0645,0.026,0.00137,102,17.5,1,,282,,"first wind-induced",,,,
222,A-4,"glycerin-water (72%-28%)",,,25,1190,0.0645,0.026,0.00137,102,20.6,1,,246,,"first wind-induced",,,,
222,A-4,"glycerin-water (72%-28%)",,,25,1190,0.0645,0.026,0.00137,102,22.9,1,,150,,"first wind-induced",,,,
222,A-4,"glycerin-water (72%-28%)",,,25,1190,0.0645,0.026,0.00137,102,25.2,1,,111,,"first wind-induced",,,,
222,A-4,"glycerin-water (72%-28%)",,,25,1190,0.0645,0.026,0.00137,102,27.2,1,,59.1,,"first wind-induced",,,,
222,A-4,"glycerin-water (72%-28%)",,,25,1190,0.0645,0.026,0.00137,102,29.6,1,,48.1,,"first wind-induced",,,,
222,A-4,"glycerin-water (72%-28%)",,,25,1190,0.0645,0.026,0.00137,102,31.2,1,,48.1,,"first wind-induced",,,,
223,A-5,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00137,102,1.8,1,,158,,Rayleigh,,,,
223,A-5,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00137,102,3.9,1,,293,,Rayleigh,grant_newtonian_1965_fig_5-1a.jpg,"p. 83, fig. 5-1",Rayleigh,0
223,A-5,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00137,102,5.9,1,,422,,Rayleigh,,,,
223,A-5,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00137,102,7.9,1,,450,,R2F,,,,
223,A-5,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00137,102,10,1,,398,,R2F,,,,
223,A-5,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00137,102,12.1,1,,324,,R2F,grant_newtonian_1965_fig_5-1b.jpg,"p. 83, fig. 5-1",R2F,0
223,A-5,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00137,102,14,1,,255,,"first wind-induced",,,,
223,A-5,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00137,102,16.1,1,,185,43,"first wind-induced",grant_newtonian_1965_fig_5-1c.jpg,"p. 83, fig. 5-1","first wind-induced",0
223,A-5,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00137,102,18.1,1,,104,,"first wind-induced",,,,
223,A-5,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00137,102,22.2,1,,42.7,,F2S,,,,
223,A-5,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00137,102,23,1,,41.3,,F2S,,,,
223,A-5,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00137,102,24.5,1,,33.99,,F2S,,,,
223,A-5,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00137,102,27.2,1,,32.8,,F2S,,,,
,,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00137,102,28.1,1,,,,,grant_newtonian_1965_fig_5-1d.jpg,"p. 83, fig. 5-1",F2S,0
,,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00137,102,23,1,,,28.555555555555557,,grant_newtonian_1965_fig_5-1e.jpg,"p. 83, fig. 5-1",bursting,0
,,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00137,102,60,1,,,,,grant_newtonian_1965_fig_5-1f.jpg,"p. 83, fig. 5-1",atomization,0
,,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00137,102,24.5,1,,,28.76,,grant_newtonian_1965_fig_5-1g.jpg,"p. 84, fig. 5-1",bursting,0
,,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00137,102,50,1,,,,,grant_newtonian_1965_fig_5-1h.jpg,"p. 84, fig. 5-1",atomization,0
224,A-6,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00086,104,2.4,4,,172,,Rayleigh,,,,
224,A-6,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00086,104,5.1,4,,329,,Rayleigh,,,,
224,A-6,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00086,104,7.5,4,,479,,Rayleigh,,,,
224,A-6,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00086,104,10,4,,558,,R2F,,,,
224,A-6,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00086,104,12,4,,579,,R2F,,,,
224,A-6,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00086,104,14,4,,574,,R2F,,,,
224,A-6,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00086,104,16,4,,549,,"first wind-induced",,,,
224,A-6,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00086,104,17,4,,514,,"first wind-induced",,,,
224,A-6,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00086,104,20,4,,443,,"first wind-induced",,,,
224,A-6,ethylene-glycol,,,25,1116,0.0482,0.0179,0.00086,104,22.5,4,,356,,"first wind-induced",,,,
