nozzle,fluid,Re_l0,lambda,"regime L_b"
A,I,8908.1256323,3.29441775364,R2S
A,I,9744.73873841,3.29272624754,R2S
A,I,10144.4345743,3.23464890019,R2S
A,I,10750.7736273,3.14948835632,R2S
A,I,10892.7712153,3.05391792786,R2S
A,I,10895.9731323,3.13544742888,R2S
A,I,11755.2568155,3.02589406833,R2S
A,I,11916.3574564,3.0657825249,R2S
A,I,12024.3935671,3.07911611719,R2S
A,I,12408.1643128,3.07856268872,R2S
A,I,12745.5960079,3.05117441704,R2S
A,I,13630.5366325,2.99689580112,R2S
A,I,13750.7455754,2.94456557777,R2S
A,I,14318.260521,2.95684043099,R2S
A,I,14639.6218512,2.89225774005,R2S
A,I,15659.1346592,2.89114390461,R2S
A,I,15724.951352,2.81589459826,R2S
A,I,16154.9546845,2.82785090755,R2S
A,I,16453.2399973,2.91582253878,R2S
A,I,16592.65219,2.77818707971,R2S
A,I,16813.4571636,2.71764606669,R2S
A,I,17498.8012849,2.61173604452,R2S
A,I,17979.0723529,2.64596107263,R2S
A,I,18716.5123752,2.59929141692,R2S
A,I,18797.0209164,2.55396953518,R2S
A,I,18960.0071234,2.47653356874,R2S
A,I,21202.0018023,2.37904233839,R2S
A,I,22564.8039282,2.266046112,R2S
A,I,28073.9698724,1.98386207447,R2S
A,I,32375.0163931,1.79969956024,R2S
A,I,34153.099879,1.73704059485,R2S
A,I,35717.3734224,1.72141027943,R2S
A,I,41380.7822259,1.5822782426,R2S
A,I,45650.6472684,1.50681595732,R2S
A,I,46688.9578304,1.51325276719,R2S
A,I,47949.2367288,1.47367732602,R2S
A,I,51750.9092891,1.4730341454,R2S
A,I,52683.2078577,1.46000435498,R2S
A,I,56080.516209,1.41530105811,R2S
A,I,57878.8877397,1.43381079866,R2S
A,I,60255.8331648,1.41471968356,R2S
A,I,64160.3211216,1.40801485968,R2S
A,I,66208.0630009,1.40776178852,R2S
A,I,68604.9597255,1.36486835987,R2S
A,I,73375.4649992,1.35241328752,R2S
A,II,15728.5142785,1.92173674166,R2S
