"page fig",nozzle,solution,"Ubar_0 (cm/s)","L_b (cm)","regime L_b"
"table IVa",1,1,148.721,11.3,Rayleigh
"table IVa",1,1,175.685,13.3,Rayleigh
"table IVa",1,1,213.981,16.2,Rayleigh
"table IVa",1,1,233.008,17.8,Rayleigh
"table IVa",1,1,289.759,21.7,Rayleigh
"table IVa",1,1,345.945,25.8,Rayleigh
"table IVa",1,1,438.373,31.2,Rayleigh
"table IVa",1,1,529.34,37.1,Rayleigh
"table IVa",1,1,619.005,43.1,Rayleigh
"table IVa",1,1,728.308,48.4,Rayleigh
"table IVa",1,1,828.83,51.4,Rayleigh
"table IVa",1,1,903.913,56,Rayleigh
"table IVa",1,1,1196,64,R2F
"table IVa",1,1,1359.49,64.3,R2F
"table IVa",1,1,1632.39,65,R2F
"table IVa",1,1,1696.13,67.3,R2F
"table IVd",1,2,126.428,6.7,Rayleigh
"table IVd",1,2,149.575,7.9,Rayleigh
"table IVd",1,2,174.755,9.8,Rayleigh
"table IVd",1,2,200.453,11.2,Rayleigh
"table IVd",1,2,221.579,12.2,Rayleigh
"table IVd",1,2,269.11,15.4,Rayleigh
"table IVd",1,2,332.807,18.4,Rayleigh
"table IVd",1,2,367.631,21,Rayleigh
"table IVd",1,2,402.078,22,Rayleigh
"table IVd",1,2,469.838,25.5,Rayleigh
"table IVd",1,2,536.237,28.5,Rayleigh
"table IVd",1,2,601.325,31.25,R2F
"table IVd",1,2,728.039,34.2,R2F
"table IVd",1,2,844.161,35,R2F
"table IVd",1,2,939.309,32.4,R2F
"table IVd",1,2,1083.08,28,"first wind-induced"
"table IVd",1,2,665.285,34.1,R2F
"table IVd",1,2,765.082,35.7,R2F
"table IVd",1,2,715.577,35,R2F
"table IVd",1,2,746.652,35.85,R2F
"table IVd",1,2,1139.27,28,"first wind-induced"
"table IVd",1,2,1313.59,23.8,"first wind-induced"
"table IVd",1,2,1413.53,22.2,"first wind-induced"
"table IVd",1,2,1606.9,16.8,"first wind-induced"
"table IVd",1,2,1710.17,16.35,"first wind-induced"
"table IVd",1,2,1796.84,15.65,"first wind-induced"
"table IVd",1,2,1924.09,15,"first wind-induced"
"table IVe",2,2,157.478,2.35,Rayleigh
"table IVe",2,2,169.452,2.6,Rayleigh
"table IVe",2,2,184.392,2.9,Rayleigh
"table IVe",2,2,223.097,3.5,Rayleigh
"table IVe",2,2,229.912,4.4,Rayleigh
"table IVe",2,2,387.522,5.5,Rayleigh
"table IVe",2,2,456.905,6.4,Rayleigh
"table IVe",2,2,562.643,8,Rayleigh
"table IVe",2,2,630.456,8.95,Rayleigh
"table IVe",2,2,703.253,9.9,Rayleigh
"table IVe",2,2,800.297,11.1,Rayleigh
"table IVe",2,2,844.241,11.6,Rayleigh
"table IVe",2,2,906.993,12.3,Rayleigh
"table IVe",2,2,963.867,13,Rayleigh
"table IVe",2,2,1014.99,13.69,Rayleigh
"table IVe",2,2,1068.46,14.1,Rayleigh
"table IVe",2,2,1148.03,14.9,Rayleigh
"table IVe",2,2,1187.39,15.35,Rayleigh
"table IVe",2,2,1229.3,15.9,Rayleigh
"table IVe",2,2,1278.79,16.35,Rayleigh
"table IVe",2,2,1333.16,16.9,Rayleigh
"table IVe",2,2,1394.86,17.55,Rayleigh
"table IVh",1,3,344.509,7.8,"first wind-induced"
"table IVh",1,3,413.537,7.4,"first wind-induced"
"table IVh",1,3,272.366,11.6,"first wind-induced"
"table IVh",1,3,148.985,10.45,Rayleigh
"table IVh",1,3,181.961,12.4,Rayleigh
"table IVh",1,3,167.527,11.4,Rayleigh
"table IVh",1,3,129.924,9.5,Rayleigh
"table IVh",1,3,206.546,14.2,R2F
"table IVh",1,3,236.884,14.25,R2F
"table IVh",1,3,220.174,14.6,R2F
"table IVh",1,3,253.234,13.85,R2F
"table IVh",1,3,287.948,11,"first wind-induced"
"table IVh",1,3,309.226,9.4,"first wind-induced"
"table IVh",1,3,332.893,8.2,"first wind-induced"
"table IVh",1,3,344.509,7.9,"first wind-induced"
"table IVh",1,3,386.541,7.3,"first wind-induced"
"table IVh",1,3,416.148,7.3,"first wind-induced"
"table IVi",2,3,170.523,2.5,Rayleigh
"table IVi",2,3,220.248,3.4,Rayleigh
"table IVi",2,3,260.432,4.05,Rayleigh
"table IVi",2,3,291.859,4.65,Rayleigh
"table IVi",2,3,337.778,5.3,Rayleigh
"table IVi",2,3,375.053,5.85,Rayleigh
"table IVi",2,3,411.537,6.1,R2F
"table IVi",2,3,435.883,6.2,R2F
"table IVi",2,3,454.215,6.1,R2F
"table IVi",2,3,482.088,6.1,R2F
"table IVi",2,3,468.209,6.05,R2F
"table IVi",2,3,549.917,5.4,"first wind-induced"
"table IVi",2,3,615.272,5.1,"first wind-induced"
"table IVi",2,3,665.952,4.8,"first wind-induced"
"table IVi",2,3,739.608,4.4,"first wind-induced"
"table IVi",2,3,798.842,4.1,"first wind-induced"
"table IVi",2,3,867.913,3.9,"first wind-induced"
"table IVi",2,3,912.577,3.8,"first wind-induced"
"table IVi",2,3,967.257,3.65,"first wind-induced"
"table IVi",2,3,1020.62,3.4,"first wind-induced"
"table IVi",2,3,1072.86,3.25,"first wind-induced"
"table IVm",1,5,146.744,8.4,Rayleigh
"table IVm",1,5,212.913,12.1,Rayleigh
"table IVm",1,5,276.815,15.6,Rayleigh
"table IVm",1,5,345.32,19.4,Rayleigh
"table IVm",1,5,446.634,24,R2F
"table IVm",1,5,549.285,24.2,R2F
"table IVm",1,5,579.186,23.35,R2F
"table IVm",1,5,647.356,21.25,R2F
"table IVm",1,5,741.505,19.25,"first wind-induced"
"table IVm",1,5,805.366,18.2,"first wind-induced"
