key,"alt key","x_i graph page fig",symbol,"SMD_i graph page fig","table page fig",liquid,gas,L_0/d_0,"d (mm)","P_atm (atm)",rho_l/rho_g,rho_l,mu_l,sigma,rho_g,"Ubar_0 (m/s)",We_l0,x_i/d_0,"D_{32,i}/d_0",utilde_p/Ubar_0,vtilde_p/Ubar_0,"D_{30,i}/D_{32,i}",e_p,"regime photo","photo filename","theta (deg.)"
wu_liquid_1992,,"p. 87, fig. 4.9",,,"p. 137, tab. B.5",water,air,41,9.5,1,,997,0.000894,0.0708,1.15,,58996.2076271186,1.18,0.02052631578947,0.73,0.05,,1.23,,,
wu_liquid_1992,,"p. 87, fig. 4.9",,,"p. 137, tab. B.5",water,air,41,6.4,1,,997,0.000894,0.0708,1.15,,23071.8192090395,4.4875,0.05078125,0.73,0.08,1.04,1.48,,,
wu_liquid_1992,,"p. 87, fig. 4.9",,,"p. 137, tab. B.5",water,air,41,6.4,1,,997,0.000894,0.0708,1.15,,32534.8700564972,2.4125,0.0521875,0.69,0.1,1.18,1.55,,,
wu_liquid_1992,,"p. 87, fig. 4.9",,,"p. 137, tab. B.5",water,air,41,6.4,1,,997,0.000894,0.0708,1.15,,43620.1581920904,1.975,0.02453125,0.72,0.06,1.12,1.19,,,
wu_liquid_1992,,"p. 87, fig. 4.9",,,"p. 137, tab. B.5",water,air,41,6.4,1,,997,0.000894,0.0708,1.15,,70657.4463276836,1.23,0.01671875,0.66,0.04,1,1.21,,,
wu_liquid_1992,,"p. 87, fig. 4.9",,,"p. 137, tab. B.5",water,air,41,6.4,1,,997,0.000894,0.0708,1.15,,144198.870056497,0.63,0.0121875,0.61,0.09,1.07,1.16,,,
wu_liquid_1992,,"p. 87, fig. 4.9",,,"p. 137, tab. B.5",water,air,41,6.4,1,,997,0.000894,0.0708,1.15,,303178.124293785,0.37,0.006875,0.51,0.08,1.09,1.09,,,
wu_liquid_1992,,"p. 87, fig. 4.9",,,"p. 137, tab. B.5",water,air,41,6.4,1,,997,0.000894,0.0708,1.15,,591305.491525424,0.27,0.00390625,0.32,0.04,1.05,1.04,,,
wu_liquid_1992,,"p. 87, fig. 4.9",,,"p. 137, tab. B.5",water,air,41,6.4,1,,997,0.000894,0.0708,1.15,,1070766.73446328,0.2,0.00265625,0.52,0.12,1.07,1.02,,,
wu_liquid_1992,wu_effects_1995,"p. 87, fig. 4.9",,,"p. 137, tab. B.5",water,air,41,3.6,1,,997,0.000894,0.0708,1.15,,62101.2711864407,0.79,0.0175,0.57,0.11,1.07,1.18,atomization,wu_effects_1995_fig_5c.jpg,5.2
wu_liquid_1992,,"p. 87, fig. 4.9",,,"p. 137, tab. B.5","glycerol 42%",air,41,6.4,1,,1101,0.003466,0.063,1.15,,114531.961904762,0.96,0.0153125,0.61,0.05,1.15,1.18,,,
wu_liquid_1992,,"p. 87, fig. 4.9",,,"p. 137, tab. B.5","glycerol 42%",air,41,6.4,1,,1101,0.003466,0.063,1.15,,206806.247619048,0.72,0.01078125,0.57,0.06,1.08,1.09,,,
wu_liquid_1992,,"p. 87, fig. 4.9",,,"p. 137, tab. B.5","glycerol 42%",air,41,6.4,1,,1101,0.003466,0.063,1.15,,363392.914285714,0.58,0.0075,0.52,0.08,0.98,1.13,,,
wu_liquid_1992,,"p. 87, fig. 4.9",,,"p. 137, tab. B.5","glycerol 42%",air,41,6.4,1,,1101,0.003466,0.063,1.15,,698040.990476191,0.37,0.0034375,0.47,0.11,1.17,1.05,,,
